review_id,stars,date,year_month,raw_text,clean_text,raw_text_length,themes
RgbKbyL-N3GUlDUjQihRxQ,4,2017-03-12 20:27:35,2017-03,"Very nice Sbux. Love how spacious and plenty of plug in outlets there are. Next to the Arch, so perfect excuse to make a stop and rest a bit.","very nice sbux. love how spacious and plenty of plug in outlets there are. next to the arch, so perfect excuse to make a stop and rest a bit.",141,FAILED
QipEvt8HuxHZywOJgzrDXw,5,2014-02-16 17:19:30,2014-02,"Good service, speedy and always busy! The product speaks for itself but this location has quickly become my favorite in SB.","good service, speedy and always busy! the product speaks for itself but this location has quickly become my favorite in sb.",123,FAILED
rfjuAKzYws2UiaXoqPaAFA,5,2016-02-18 20:25:28,2016-02,Love Starbucks coffee. Can spend hours reading and doing my work on laptop. Free wifi..! And yes nothing like a great cup of coffee along with it..!,love starbucks coffee. can spend hours reading and doing my work on laptop. free wifi..! and yes nothing like a great cup of coffee along with it..!,148,FAILED
zhd61vR92abJ-4JXiHuFYw,4,2014-10-25 05:46:54,2014-10,"Any Starbucks is usually great, as it's my cafe of choice.  This is the one I usually go to, as it's closest to my house.  I've always had decent service, and the drinks and food are fresh and taste great.  This cafe is clean and enjoyable for meeting friends at.","any starbucks is usually great, as it's my cafe of choice. this is the one i usually go to, as it's closest to my house. i've always had decent service, and the drinks and food are fresh and taste great. this cafe is clean and enjoyable for meeting friends at.",263,FAILED
ffUDuTLkAf72rlH1TLxm4A,1,2018-09-19 11:12:03,2018-09,25 min. For one cup of black coffee..... They did not know how to use the coffee maker?,25 min. for one cup of black coffee..... they did not know how to use the coffee maker?,87,FAILED
Gvec5QyywZOpm1-7Tlihdw,4,2010-09-21 17:59:14,2010-09,"So I don't get it.  I order the same thing every time I go to Starbucks, no matter which Starbucks I go to.  I always get the Grande Soy Misto with 2 Splenda.  However, no matter where I go, it seems I am charged a different price each time.  This Starbucks consistently doesn't charge me extra for soy milk.  Yay!  I'm a fan :-)","so i don't get it. i order the same thing every time i go to starbucks, no matter which starbucks i go to. i always get the grande soy misto with 2 splenda. however, no matter where i go, it seems i am charged a different price each time. this starbucks consistently doesn't charge me extra for soy milk. yay! i'm a fan :-)",329,FAILED
SvUEVL8Gf_S8UMEcXNoXLQ,5,2015-06-24 00:34:53,2015-06,As far as coffee goes it stands by its name and brand image. May be expensive but worth every penny. My favorite part is the extreme consistency they provide you. I can order a drink a 100 times from them and it will taste exactly the same 100 times straight. Whereas I can order same drink 100 times from Dunkin donuts and it will taste different 95 times with 15 of those times I need to force it down just so my 2.50$ doesn't go to waste.   If you are looking for quality and consistency then pull out your wallet and head to Starbucks,as far as coffee goes it stands by its name and brand image. may be expensive but worth every penny. my favorite part is the extreme consistency they provide you. i can order a drink a 100 times from them and it will taste exactly the same 100 times straight. whereas i can order same drink 100 times from dunkin donuts and it will taste different 95 times with 15 of those times i need to force it down just so my 2.50$ doesn't go to waste. if you are looking for quality and consistency then pull out your wallet and head to starbucks,538,FAILED
X3vtm8RPRU0NYwG3ZbQSaw,1,2019-03-02 23:28:12,2019-03,"I have come to this location multiple times hoping my experience will be different than the last, but nope. I seem to have to bad experience each time I visit this location. The staff are not very friendly (I understand it can be a tough job, but a little kindness can go a long way). My order has either been messed up or the staff forgot to make it and this has happened nearly each time. This happened even when I've used the mobile app to place an order. The times I have ordered inside the store have been no different. The customer service is terrible and I have often been ignored by the cashier and other staff. I have finally learned my lesson and will avoid this location at all costs. The staff deserves to be treated with kindness, but so do customers.","i have come to this location multiple times hoping my experience will be different than the last, but nope. i seem to have to bad experience each time i visit this location. the staff are not very friendly (i understand it can be a tough job, but a little kindness can go a long way). my order has either been messed up or the staff forgot to make it and this has happened nearly each time. this happened even when i've used the mobile app to place an order. the times i have ordered inside the store have been no different. the customer service is terrible and i have often been ignored by the cashier and other staff. i have finally learned my lesson and will avoid this location at all costs. the staff deserves to be treated with kindness, but so do customers.",764,FAILED
c14BustCUAYw9nyV31lhtA,4,2018-04-02 14:15:55,2018-04,"I  love  Starbucks  in  Wesley  Chapel,  Florida  on  Bruce  B  Downs.  Stranded  for  a  place  to  go  and  everyone  is  closed ...the  bright  green  lights  shine  from  the  highway  and  soon  you  are  sitting  in  a  warm  cafe  with  lots  of  people  using  computers,  drinking  hot  beverages  and  eating  food.  Also....I  can  buy  newspapers  here  from  New  York!  A  great  place,  great  staff  and  great  Chai  tea!!!  See  you  there.","i love starbucks in wesley chapel, florida on bruce b downs. stranded for a place to go and everyone is closed ...the bright green lights shine from the highway and soon you are sitting in a warm cafe with lots of people using computers, drinking hot beverages and eating food. also....i can buy newspapers here from new york! a great place, great staff and great chai tea!!! see you there.",458,FAILED
CofLTCTBYnagv0uvSBxlzA,5,2020-07-10 20:38:11,2020-07,These baristas/managers deserve a raise! They are on their sh*t!! Service and drinks are consistent every time!,these baristas/managers deserve a raise! they are on their sh*t!! service and drinks are consistent every time!,111,FAILED
Fjudbe53vX5fmp7ZKxTHuw,1,2017-10-04 11:36:35,2017-10,These guys have a captive audience.     Last time the sandwich eggs were frozen inside.    This time went with something no one could mess up...Toasted bagel.   Stale bread and not toasted.    Line is so long you just deal with it.    Common Starbucks.  Stop growing and fix your existing stores !!,these guys have a captive audience. last time the sandwich eggs were frozen inside. this time went with something no one could mess up...toasted bagel. stale bread and not toasted. line is so long you just deal with it. common starbucks. stop growing and fix your existing stores !!,298,FAILED
rWY2NCj8Vu5Bi0Wqtx8_Tg,1,2016-12-20 02:32:11,2016-12,"Just had an employee rather rudely get in my face about ""being there without having purchased anything"" when one of her coworkers had made my order about 30 minutes prior.","just had an employee rather rudely get in my face about ""being there without having purchased anything"" when one of her coworkers had made my order about 30 minutes prior.",171,FAILED
