Word/Phrase,TF-IDF_Average,Intensity_Coefficient
great,0.012795409331334722,2.1223988111848677
friendly,0.013761962963819659,1.6465288937285538
love,0.008532035319319212,1.6088835888215058
amazing,0.0030145098824599106,1.5576376944212176
best,0.005935431710209118,1.287334047789993
nice,0.010135502255951837,1.2850857965919316
excellent,0.0021744797315370076,1.2289321146154122
awesome,0.003275984575638751,1.21399714638745
free,0.003987167915993516,1.199089241618027
good,0.011469017569884884,1.1295417503412353
perfect,0.0032347006223111276,1.088352413725354
happy,0.0034137475586932613,1.0850083257993455
pleasant,0.002491031850392113,1.0717151798527893
wonderful,0.0017255708791888906,1.0674043763666654
delicious,0.0023656436199543354,0.9825973981940652
fast,0.005561210880392005,0.9750685656263979
like,0.011933389092842117,0.8962983911531365
thank,0.0029441881202213684,0.8938060708407864
quickly,0.003228843696473306,0.7978894638527116
the best,0.00448532732213883,0.7881670139064849
super,0.005882098884325065,0.7751212107277224
fantastic,0.0010203225147647707,0.7686236351884767
kind,0.0032369694193952817,0.7600211100771265
perfectly,0.0013581110211384223,0.7464068298359404
my,0.024570901019516728,0.7396533398254093
always,0.015258984638537153,0.7339076861385246
favorite,0.005146071396376775,0.7316123482026192
thank you,0.002654472795798766,0.7184071857794057
kudos,0.00048336060061377893,0.700906353623268
nicest,0.0008271335167580147,0.7008432743917887
efficient,0.0028551437533853486,0.700482944542463
pleasure,0.0003823019217322682,0.7004458054351254
appreciated,0.0005941728550600518,0.699800688680241
well,0.0062540085225196804,0.683980897307137
not bad,0.0006161308744777374,0.6694835207869816
lol,0.001267907187706306,0.6651359300842137
clean,0.006449069301829085,0.6626999226386837
lovely,0.0008007628809274689,0.6614575663479242
quick,0.005488142549581266,0.6548835559096847
definitely,0.0037700736894653477,0.6487822066463224
yummy,0.0007804803666361776,0.6466689732225711
stars,0.003768840821161982,0.646479464546928
pretty,0.005457241018024802,0.6389003678531152
yay,0.00047893196996816247,0.6284604348044006
sure,0.004568430115449316,0.6248257978162515
sweet,0.0027622063250508583,0.619537438871627
friendliest,0.0007606079808314425,0.6167630557217461
better,0.005248701423830698,0.6162940421629785
appreciate,0.0013775670555797716,0.5977152176041376
beautiful,0.0011303331549065247,0.5943717801330012
exceptional,0.0005352398588662714,0.5942041674401987
fabulous,0.0004884547411175217,0.5885969485933468
loved,0.0008778865259906009,0.586003139765712
remembered,0.0004105267262884546,0.5850557543178503
thanks,0.0022946643581387613,0.5817520155430045
incredible,0.0003112364566892486,0.5788001870063555
welcoming,0.0012699113001711998,0.5781395737896655
smiling,0.0007435791503491579,0.5694332615388232
one time,0.000795323649808566,0.5586804841105498
yes,0.0018546581109749598,0.5534591904722963
cool,0.0016980639948098175,0.5523056522299761
ready,0.002682797609505085,0.5495452861331372
complaints,0.0009526485824594775,0.5457341454304162
friday,0.0008020929061331104,0.5457172559726696
been disappointed,0.00022080733619447932,0.5439197867198302
work,0.008148116817062435,0.537532717713453
helpful,0.002491599984280815,0.5354145358232981
happy to,0.0010294524618549065,0.5328753213236815
kindness,0.0004910683716472962,0.5307461345261412
your day,0.0005422543321468941,0.5235965712807552
impressed,0.0010404062689374383,0.5217260103545397
bags,0.00037725858959574186,0.521425426385903
fastest,0.0004550162862449871,0.5143278610144626
love the,0.0026112469543959882,0.5117779472687022
our,0.00501759577792519,0.5089742814991587
grateful,0.0003621209972654648,0.5063993367129546
my favorite,0.004295328349413416,0.5056904390056237
go wrong,0.0002974740119071779,0.504391390461421
here,0.014261392007557777,0.5025431899666417
patient,0.0010271514509053207,0.5013076041935465
they make,0.0016161680827180662,0.5010383378071617
no complaints,0.0006938916345921533,0.4988379915119639
thankful,0.00022858318842603568,0.498792403854326
luckily,0.0004602404628271433,0.49664091919404946
greeted,0.0014581889530986606,0.4938665503626859
will definitely,0.0006704691744450707,0.49299411579702823
props,0.0002876833994089361,0.49014944627982804
comfortable,0.0015812253982498724,0.4864409400794316
gorgeous,0.00025696746163820095,0.4810591344923142
so nice,0.0012398206677872148,0.4795342220705582
was great,0.0012283243417459022,0.47891663723196204
added,0.0010312895457303237,0.4726531197494157
smiles,0.0007121938630869104,0.4702067978897261
smile,0.0027628961753560204,0.46967788622933265
crack,0.0002499536348680875,0.46536795331911246
the fastest,0.000335883275192575,0.46369593817193244
perfection,0.0006144722890526253,0.4631704506961562
was amazing,0.0004521601119320582,0.463047303779462
do like,0.000267335819540492,0.459763669892778
secret,0.0003153429640301704,0.4575199958023247
reviews,0.0014658601901306409,0.4573632722071521
kind and,0.0010018932257603653,0.454197170047159
building,0.001832383346941631,0.4537494037995507
all you,0.00022919079629628932,0.4505684205416803
relaxing,0.0006603431880017749,0.4489738344393864
of customers,0.000671096357707962,0.4466559294882637
the house,0.0003659562514792181,0.4461050621722559
the time to,0.0005250452034758885,0.4432421148649044
impressive,0.0003260925288958177,0.4431807900054537
glad,0.0010881880475609453,0.4394408982974553
no problems,0.0003055483417541078,0.43875893191842574
recently,0.0014410587784423371,0.43819154826663154
tasty,0.0009265109732592616,0.43618455346162066
enjoy,0.002900736050510639,0.4328871203503258
tried the,0.0006310369303784932,0.4313838320380352
soon,0.0011869837119910338,0.42997869040457104
clover,0.0008837237639293071,0.4298795148023135
hope,0.0014563320759869353,0.4293781359401126
