term,score
awful,2.589547111925028
coconut,2.456015719300505
absolutely,2.301865039473247
coconut milk,2.301865039473247
cleaning,2.301865039473247
taken,2.301865039473247
good thing,2.1195434826792923
apple,2.1195434826792923
funny,2.1195434826792923
changed,2.1195434826792923
pass,1.8963999313650826
costs,1.8963999313650826
laptops,1.8963999313650826
completely,1.8963999313650826
clearly,1.8963999313650826
regularly,1.8963999313650826
floors,1.8963999313650826
decided,1.8963999313650826
greeted,1.8963999313650826
possible,1.8963999313650826
store clean,1.8963999313650826
appreciate,1.8963999313650826
year,1.8963999313650826
taken care,1.8963999313650826
sure ll,1.8963999313650826
gal,1.8963999313650826
staff usually,1.8963999313650826
mainly,1.8963999313650826
hate,1.8093885543754533
class,1.7628685387405598
rude,1.6732563800508728
seeing,1.6087178589133018
started,1.6087178589133018
single,1.4263963021193469
got drink,1.4263963021193469
smile,1.4263963021193469
refresher,1.4263963021193469
cash,1.4263963021193469
charge,1.4263963021193469
properly,1.4263963021193469
