term,score
pm,2.128951759370068
caffeine,2.128951759370068
light ice,1.8877897025531798
sugar,1.8877897025531798
chocolate,1.792479522748855
left,1.792479522748855
happened,1.792479522748855
help,1.792479522748855
sbux,1.6871190070910282
city,1.6871190070910282
looks,1.6871190070910282
target,1.6871190070910282
stores,1.6871190070910282
worst,1.5693359714346453
center,1.5693359714346453
standard starbucks,1.5693359714346453
good coffee,1.5693359714346453
shopping,1.5693359714346453
strip,1.5693359714346453
yes,1.5693359714346453
main,1.4358045788101226
south,1.4358045788101226
good service,1.4358045788101226
end,1.4358045788101226
don like,1.4358045788101226
smaller,1.4358045788101226
ave,1.4358045788101226
tight,1.4358045788101226
watch,1.4358045788101226
outdoor seating,1.3616966066563991
shop,1.3616966066563991
crowded,1.3357211202531385
sit,1.3357211202531385
arrived,1.2816538989828636
took minutes,1.2816538989828636
tall,1.2816538989828636
lounge,1.2816538989828636
chocolate mocha,1.2816538989828636
service friendly,1.2816538989828636
strip mall,1.2816538989828636
