term,score
customer,2.175576733132682
need,2.062248047825679
customers,1.8878946606809004
customer service,1.7337439808536423
said,1.5514224240596874
light,1.4824295525727367
let,1.4824295525727367
stopped,1.4083215804190141
lady,1.4083215804190141
talking,1.4083215804190141
ordering,1.4083215804190141
got,1.3691008672657334
coming,1.3282788727454777
employee,1.3282788727454777
minutes,1.3282788727454777
sandwich,1.3282788727454777
iced coffee,1.3282788727454777
make,1.2711204589055294
told,1.2412674957558485
change,1.2412674957558485
today,1.194747480120955
working,1.178747138774514
order,1.1741281929182197
start,1.1459573159515237
light ice,1.1459573159515237
cold,1.1459573159515237
hope,1.1459573159515237
ve,1.0625757070124724
added,1.040596800293697
young,1.040596800293697
