review_id,stars,date,text
ULzbgT5SPThiMOoo4a_Adw,2.0,2017-12-29 19:38:31,"Ordered Caramel frappe at Drive thru, BIG MISTAKE! Took 30 min and there were only 2 cars in front of me."
RXqhxbAuPPSNs-oyJJyOgw,4.0,2014-02-05 19:38:24,"Drum-roll please! Review #100 coming right up!   I chose to review Starbucks as my 100th review because it is a guilty pleasure. Something that I only allow myself once a week. But something that I crave everyday!   This particular Starbucks is great. The baristas are always friendly and welcoming. The drinks are made correctly and quickly. I usually go with a Salted Caramel Hot Chocolate or Mocha. I also occasionally order the White Mocha. If you can't tell, I enjoy coffee that doesn't taste like coffee! In the summer their iced teas are the perfect thirst quencher! Their breakfast pastry items are always delicious. Try the Cranberry-Orange Scone and you will not be disappointed! Their breakfast sandwiches are unique and pretty tasty as well.  I always choose to go in and place my order over sitting in the drive thru. The line for their drive thru is always ridiculously long. It's usually quicker to go in!"
LuMkMBAUV1B-2dm2pqSBWw,4.0,2017-02-09 04:35:39,"We stopped here for my Chai and Hubby's coffee and caffeine mania. The line went quite fast, they're quick with the service especially not a lot of people at the time. My Chai came out good, awesome! One thing I forgot to do is to purchase more coffee for the house. They have lots for sale. But not too worry because we still have plenty of Starbucks coffee at home. What would life be without Starbucks?"
oP9FdA8uUJXGwP-1xYL8eA,4.0,2018-02-13 15:35:28,"This is a pretty good Starbucks. It is in a great location (state street), so if you feel like taking a stroll with your coffee and popping into some cute local shops, you are in the right place! It is also a nice atmosphere to sit down and do your work. My only complaint is that it is always so busy that when I place an order ahead through the app, there is typically a longer wait than other locations. But overall a great experience!"
NoPOfj7gC1l48dC0XH7Spw,1.0,2016-01-30 01:10:42,"I went in when they had 4 people working, waited for 15 minutes for my tea latte which came out as basically water. Returned it twice but gave up when the barista offered some other iced tea latte they already had instead. It was still the same - water. The baristas should REALLY REALLY learn how to make their stuff... seriously Starbucks??!!! So disappointed!!!!! :'("
t6A4IEWM2WJkdIfa3DkmqQ,5.0,2012-08-15 15:08:59,"This review is for the drive thru only...  This Starbucks is very fast and the staff is so friendly! I have been several now and the staff remembers me. I just think thats awesome! The Coffee is always right and perfect every time. There are other Starbucks close by, but this one is the best by far. I would suggest this one over the others!"
R-2xmz1w1CMOCRN-hd6tkg,3.0,2021-01-01 19:08:34,"Last Saturday on 12/26/20 I visited this Starbucks through the drive thru. My sister got her beverage and I got my standard hot chocolate. There was a bit of a wait but that is standard for any Starbucks drive thru these days. The beverages were decent and the location on Easton Road (Route 611) is very convenient if not very crowded. Overall, it was a decent experience."
rBS75VUXRRveZl3P_WWZsg,1.0,2013-10-24 07:10:38,Nothing makes my busy day easy like my iced coffee at Starbucks and this location botched it up for me:( see my photo yup those are coffee grinds at the bottom a whole bunch of coffee grinds:( yuck yuck!
zFeZiiLWKnSyVMpD4uF7sw,3.0,2011-08-24 21:28:36,"Starbucks...so aren't they all just clones?  a review would be futile if you've already visited one before.  Coffee is ...OK.  It's more like coffee flavored water to me, but does the trick when called upon.  I much prefer some home brewed New Orleans style coffee & chicory.  Chicory makes the coffee... Starbuckathons have no clue what real coffee is like."
7DA2mcmudtay0vaL_uXaDQ,3.0,2012-02-29 17:04:09,I was staying near this location for a month and my experiences were 50/50 right down the middle.. Everytime my order was just one drink.. the service and and drink were perfect. I had received suggestions on how to make my drink better next time I ordered it and recommendations on what might add flavor.. it was great..   But the other half of the time I ordered I always ordered 3 drinks and they were never correct. Ever.. if I said white mocha I got a white hot chocolate.. when I ordered my DoubleShot I received a Mocha.. whats weird is that each time it was a different persons fault.. one time it would be the cash register person writing the wrong order.. and the other time it was the barrista making the drinks.. it was really weird.. I have concluded that it is my fault for these mixups. Presumably my stunning features or my impeccable jaw-line distracting said persons to make mistakes.   I have resigned to never attend this location again. I apologize for flaunting my essence and impeding your abilities. Good day.
KUgufMPBce5reJ7GdW3QiQ,4.0,2012-12-04 15:10:31,"Its a good location.I don't like the coffee at the place next door, but combine a Starbucks coffee with a tart from the other place and its a win-win. Well maybe not for my waist line or pocket book.   I like they have large common tables with plenty of outlets under them for computers. I really appreciate the multiple outlet on the walls. Too many people bogart every one of the power plugs, but thats not going to happen here."
aIkwHOOldvkQFo6-_EU4Yw,2.0,2017-05-26 11:47:31,Yummy but the staff refused to make a frappacino I have ordered at least three times before at the same location and at least fifty times before in my lifetime at other locations. Also she didn't get half my order then while we waited for it she lectured me about how old my request was . Oh come on. I just want to go to home. I won't be back. But I will say once I got my order to where she would be willing to make it it was very good
syCv_F27-QFWLc6DZDM_2w,1.0,2016-10-01 15:30:19,"If I could give them 0 stars I would. Horrible customer service. I order my coffee as follows, cold brew, no water, 2 shots. This tote always gives me and issue with this order saying that they cannot make it as follows, although the app offers that as an option for online ordering, and every other Starbucks out there has zero complications with this order. Infuriating."
ZkulRZ_It4fmdw7p5GhCgA,4.0,2016-04-23 15:37:00,"I feel like such a snot complaining about a Starbucks. The staff here is great. My issue here is the guests. There are a couple people that live here. So if you were planning on sitting in one of the cozy chairs think again. They've basically claimed them as their own. Take a close look and you can see their ass prints in each seat. Seriously. And on a nice afternoon there's usually 5-10 too many highschoolers hanging around. They tend to sit outside around the Cold Stone next door which is a little bit of a relief. Where do these kids get money for Starbucks everyday? I was counting change to share a $1 slice at the local pizzeria! But otherwise, drinks made right- every time- also friendly and quick drive-thru."
tO-cghZo8BDtwyHEd1qk9g,4.0,2011-03-20 21:56:51,"I don't get the chance to visit this location often, but the time I was there went great. Prompt service, good tasting drinks."
LpeHIlju3NnNqNiRYlsbvg,1.0,2010-11-22 23:05:03,"Wallet was stolen today at this starbucks.  The workers there were not helpful at all.  They wanted me to ""file a report"" to corporate and would call if it showed up.  Meanwhile someone was having fun with my credit card in cherry hill, new jersey.  And they made it seem like it was my fault that it was stolen, but it was stolen when i was sitting with my items. Not helpful or sympathetic."
3dpZV03faf7YynNxwCKlcA,4.0,2013-10-24 13:53:54,Love this bucks but the blonde with the red lips has a little bit of an attitude she might need to check....
aFGPcvIVj0Kcdu94kecBPQ,4.0,2013-12-07 16:34:01,"Fast, efficient service. Tasty coffee. No complaints on my visit.   I wouldn't want to be in the drive thru.... Must have been a line 15 cars long. Hello people! Walk your buns inside!"
vy27G1Lws39s9kkFTmQb6Q,4.0,2014-02-05 19:10:47,"Great little Starbucks hubs and I came across when we were visiting NOLA! Great neighborhood, clean and great service!"
e9ud_GdX_jSjSApl7zmoWw,4.0,2015-01-04 00:49:34,"Generally a great Starbucks. There are large amounts of seating inside including both tables and comfier options including leather chairs and sofas. The outside seating is nice, but the ambiance is disrupted by large amount of traffic on Hazel Dell and 116th.  The staff is generally really friendly and the service is quick. This place is crazy on the weekends, with 10+ cars waiting for the drive through, so I would definitely park and stand in the line inside (it's generally a shorter wait).  As Starbucks go, this is a good one."
