Word/Phrase,TF-IDF_Average,Primary_Sentiment,Sentiment_Coefficient,negative_coef,neutral/mixed_coef,positive_coef
starbucks,0.039251257245375655,neutral/mixed,-3.387253890898224,1.3096225597017346,-3.387253890898224,2.0776313311964723
coffee,0.02594617881142665,neutral/mixed,-2.0660828711682844,1.5615328377841942,-2.0660828711682844,0.5045500333840836
location,0.023770265076816028,neutral/mixed,-1.2795493521612809,0.7217439232930116,-1.2795493521612809,0.5578054288682562
like,0.02146182326048377,negative,-0.9327943643087953,-0.9327943643087953,0.7384764892416965,0.19431787506710063
service,0.020672816174162955,neutral/mixed,-1.6788265001592266,0.8320604043951746,-1.6788265001592266,0.8467660957640568
order,0.020065786215125423,neutral/mixed,-1.4416581151780996,0.7719055883661804,-1.4416581151780996,0.6697525268119074
just,0.020046020429446768,positive,-1.1088070736411344,0.4419661190252056,0.6668409546159241,-1.1088070736411344
time,0.019787515918195744,negative,0.7928660229307322,0.7928660229307322,-0.7196475994428123,-0.07321842348792164
drink,0.01970614959375502,neutral/mixed,-1.616746141861684,1.3850953734502158,-1.616746141861684,0.231650768411449
good,0.019217321926482494,negative,-2.6004634465798793,-2.6004634465798793,1.315325091510246,1.2851383550696374
great,0.01916500752622256,negative,-4.119353359308564,-4.119353359308564,0.6267220298938114,3.4926313294147566
drive,0.018728734246820925,neutral/mixed,-1.0878557159478932,0.16059648761742704,-1.0878557159478932,0.9272592283304899
staff,0.018398453430019425,neutral/mixed,-2.533163829038787,0.4031253314808455,-2.533163829038787,2.130038497557936
friendly,0.017597352862338236,positive,4.170435116693047,-3.679691723326258,-0.4907433933667998,4.170435116693047
nice,0.0155016376884181,negative,-3.2037523595804114,-3.2037523595804114,0.5465495456201365,2.65720281396026
ve,0.014933565229374262,neutral/mixed,-0.7883340425638873,0.2375522311342254,-0.7883340425638873,0.5507818114296514
place,0.014752008849364713,neutral/mixed,-1.1781022499556209,0.7237734693216432,-1.1781022499556209,0.4543287806339765
don,0.014602193299758643,positive,-1.2319288323218147,0.8241412855097051,0.40778754681210533,-1.2319288323218147
drinks,0.014211785329084124,negative,0.9601842645359523,0.9601842645359523,-0.891218631527557,-0.06896563300841325
really,0.013770172876095823,negative,-0.8089052411659694,-0.8089052411659694,0.5745184715238475,0.2343867696421265
work,0.013419016607624831,negative,-0.8118807672862943,-0.8118807672862943,0.047790974157707264,0.7640897931285842
people,0.01328576012345385,neutral/mixed,-1.2659740857859119,1.047981189782881,-1.2659740857859119,0.2179928960030285
hair,0.012937178855656274,neutral/mixed,2.764269528547061,-1.1006897002823326,2.764269528547061,-1.6635798282647032
love,0.012677250701585548,positive,3.7677361614020803,-3.1228591389332188,-0.6448770224688362,3.7677361614020803
line,0.012621291319190094,negative,0.7395181739076888,0.7395181739076888,-0.4095605491585479,-0.329957624749149
make,0.012160883702053035,neutral/mixed,-0.8183248976558032,0.24807328167424525,-0.8183248976558032,0.5702516159815597
long,0.011422728236460684,negative,-0.37021194531131374,-0.37021194531131374,0.31382574632539156,0.056386198985924944
minutes,0.011342816418349914,negative,2.5293713476689548,2.5293713476689548,-0.6823938170054071,-1.8469775306635534
store,0.011147303815217242,neutral/mixed,-1.1843211771654778,0.8501603588597552,-1.1843211771654778,0.3341608183057245
use,0.01105783919839906,neutral/mixed,2.1115002294191614,-0.4226003277502527,2.1115002294191614,-1.6888999016688904
br,0.010586447830544299,neutral/mixed,2.548716575049082,-1.2930048992736687,2.548716575049082,-1.255711675775441
little,0.010577820943025321,negative,-2.0048668092013746,-2.0048668092013746,1.3388945071677623,0.6659723020336096
